Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
03-06-2026 00:00,07:04,CNR8181602032,Success,CID167642,Bike,Laxmi Nagar,Mayur Vihar,70,95,null,null,No,null,378,UPI,18,4.8,4.1
28-06-2026 00:00,16:00,CNR8090918544,Success,CID640151,Bike,Manesar,Vasant Kunj,126,95,null,null,No,null,343,UPI,23,3.7,3.6
07-06-2026 00:00,18:28,CNR3211335290,Driver Not Found,CID630354,Mini,Palam Vihar,Sector 29 Gurugram,null,null,null,null,null,null,366,null,0,null,null
26-06-2026 00:00,19:04,CNR3196156650,Success,CID243275,Bike,Preet Vihar,Karkardooma,140,40,null,null,No,null,401,Cash,8,3.3,3.9
25-06-2026 00:00,13:29,CNR9975925287,Success,CID162055,Prime SUV,Noida Sector 93,Gurugram Cyber City,42,30,null,null,No,null,343,UPI,17,3,3.8
19-06-2026 00:00,16:08,CNR1591113431,Success,CID902781,eBike,Golf Course Extension Road,Nehru Place,245,70,null,null,No,null,2014,Cash,33,4.2,4.9
13-06-2026 00:00,20:46,CNR3650331573,Success,CID217093,eBike,Noida Sector 76,Janakpuri,84,25,null,null,No,null,650,Cash,34,4.9,3.4
30-06-2026 00:00,14:47,CNR6013805089,Success,CID817034,Prime Sedan,Anand Vihar,Rajouri Garden,168,65,null,null,No,null,231,Cash,2,3.2,3.7
18-06-2026 00:00,16:04,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Noida Sector 18,Rohini,null,null,null,Customer was coughing/sick,null,null,909,null,0,null,null
19-06-2026 00:00,07:34,CNR9832070187,Success,CID655872,Bike,Dwarka,Karkardooma,231,145,null,null,No,null,189,Cash,6,4.9,3.3
11-06-2026 00:00,06:36,CNR5620539253,Success,CID290480,Prime Plus,Noida Sector 15,Dwarka,56,105,null,null,No,null,311,Cash,28,4.3,3
24-06-2026 00:00,14:11,CNR4443921904,Success,CID654618,Mini,Vasant Kunj,Noida Sector 50,231,50,null,null,No,null,286,UPI,44,4,3.3
17-06-2026 00:00,13:04,CNR7194303296,Success,CID538245,Mini,Greater Noida,Noida Sector 150,175,50,null,null,No,null,141,UPI,35,4.7,3.1
07-06-2026 00:00,22:00,CNR6494005067,Success,CID805360,Auto,Shahdara,Noida Sector 137,84,60,null,null,No,null,214,UPI,2,3.3,4.5
22-06-2026 00:00,19:51,CNR6805579107,Success,CID810214,Prime SUV,Janakpuri,Dwarka,35,145,null,null,No,null,2183,Cash,20,4,4.4
03-06-2026 00:00,20:04,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Mayur Vihar,Nehru Place,null,null,Driver asked to cancel,null,null,null,604,null,0,null,null
27-06-2026 00:00,16:34,CNR2998177390,Driver Not Found,CID946041,Auto,Gurugram Cyber City,Palam Vihar,null,null,null,null,null,null,802,null,0,null,null
28-06-2026 00:00,15:00,CNR7979458138,Success,CID978509,eBike,Noida City Centre,Noida Sector 62,189,65,null,null,No,null,1095,Cash,38,4.8,4.7
07-06-2026 00:00,17:58,CNR7286474506,Canceled by Customer,CID500806,eBike,Rajouri Garden,Noida Sector 93,null,null,Driver is not moving,null,null,null,120,null,0,null,null
19-06-2026 00:00,21:20,CNR9820692957,Success,CID625327,Prime Sedan,Janakpuri,Gurugram Railway Station,49,85,null,null,No,null,241,Cash,33,3.2,3.5
08-06-2026 00:00,19:29,CNR4094067439,Success,CID896062,Prime Sedan,Saket,Pitampura,77,140,null,null,No,null,475,Cash,45,4.3,3.1
04-06-2026 00:00,19:46,CNR7142279862,Success,CID378034,eBike,Karol Bagh,Noida Sector 137,210,45,null,null,No,null,461,UPI,49,4.5,3.1
13-06-2026 00:00,13:27,CNR5488574120,Canceled by Driver,CID169284,Auto,Dwarka,Gurugram Railway Station,null,null,null,Customer related issue,null,null,783,null,0,null,null
16-06-2026 00:00,07:20,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Rohini,Noida City Centre,null,null,null,Customer was coughing/sick,null,null,995,null,0,null,null
24-06-2026 00:00,07:23,CNR5176704322,Success,CID296026,Prime Plus,Gurugram Railway Station,Okhla,287,40,null,null,Yes,Customer Demand,1102,UPI,41,3.1,3.5
15-06-2026 00:00,20:10,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Golf Course Extension Road,Noida Sector 62,null,null,null,Customer related issue,null,null,170,null,0,null,null
03-06-2026 00:00,16:12,CNR7547352327,Success,CID976231,Prime Plus,Golf Course Extension Road,Noida Sector 62,210,105,null,null,No,null,444,UPI,6,3.8,4.9
08-06-2026 00:00,14:45,CNR9660405769,Canceled by Driver,CID483311,eBike,Golf Course Extension Road,IGI Airport,null,null,null,Customer related issue,null,null,1130,null,0,null,null
01-06-2026 00:00,08:43,CNR4251304471,Success,CID888740,Prime SUV,Rohini,Mayur Vihar,294,145,null,null,No,null,876,Cash,21,4.7,3.3
19-06-2026 00:00,11:34,CNR1568684278,Success,CID709612,Prime Plus,Laxmi Nagar,Karkardooma,42,90,null,null,No,null,680,UPI,24,4.7,3.8
15-06-2026 00:00,17:11,CNR2230045814,Success,CID961125,Prime SUV,Malviya Nagar,Noida Sector 76,266,65,null,null,No,null,425,Cash,11,3.5,4.6
16-06-2026 00:00,17:42,CNR7871058089,Success,CID221021,Mini,Noida Sector 142,Rajouri Garden,56,140,null,null,No,null,989,Cash,4,4.5,4.2
20-06-2026 00:00,17:36,CNR5503358927,Driver Not Found,CID552049,Bike,New Delhi Railway Station,Noida Sector 15,null,null,null,null,null,null,594,null,0,null,null
20-06-2026 00:00,17:37,CNR2708187615,Success,CID415325,Prime Plus,Noida Sector 142,Noida Sector 93,294,95,null,null,No,null,443,Cash,5,3.4,3.1
07-06-2026 00:00,15:50,CNR1625119636,Success,CID745270,eBike,Noida Sector 142,Aerocity,35,95,null,null,No,null,721,Cash,19,3.8,4.7
05-06-2026 00:00,20:00,CNR9312632867,Success,CID649563,Prime SUV,Noida Sector 150,Noida Sector 18,217,120,null,null,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6
05-06-2026 00:00,14:12,CNR5274603340,Success,CID477783,Prime SUV,Noida Sector 62,IGI Airport,77,35,null,null,No,null,747,Cash,25,5,3.5
27-06-2026 00:00,12:53,CNR1050003752,Success,CID993137,Bike,Noida Sector 137,Noida Sector 18,308,110,null,null,No,null,799,UPI,25,3.9,4.7
22-06-2026 00:00,08:13,CNR3603517873,Success,CID386651,eBike,Sohna Road,Noida Sector 76,63,135,null,null,No,null,300,Cash,14,3.3,4.6
11-06-2026 00:00,21:36,CNR1557960488,Driver Not Found,CID884386,Prime SUV,IGI Airport,Noida Sector 15,null,null,null,null,null,null,162,null,0,null,null
26-06-2026 00:00,04:56,CNR9758857830,Success,CID528642,Prime Plus,Shahdara,Saket,308,70,null,null,No,null,618,UPI,30,3.5,3.7
17-06-2026 00:00,18:06,CNR8080410192,Success,CID416746,eBike,Chhatarpur,Vasant Kunj,91,120,null,null,No,null,251,UPI,9,5,4.4
28-06-2026 00:00,06:49,CNR1648186942,Canceled by Driver,CID713303,Bike,DLF Phase 1,Karol Bagh,null,null,null,More than permitted people in there,null,null,543,null,0,null,null
26-06-2026 00:00,05:05,CNR2433490646,Success,CID954071,Mini,Dwarka,Aerocity,35,115,null,null,No,null,724,Cash,11,4.5,4.8
18-06-2026 00:00,16:42,CNR7825941026,Success,CID234007,Mini,Gurugram Railway Station,Noida Sector 18,196,80,null,null,No,null,316,UPI,27,3.1,4.7
15-06-2026 00:00,20:23,CNR9148580255,Success,CID164393,Prime SUV,Hauz Khas,Gurugram Railway Station,224,60,null,null,No,null,138,UPI,24,5,3
03-06-2026 00:00,20:50,CNR2946309760,Success,CID984343,Prime Plus,Noida Sector 150,New Delhi Railway Station,280,55,null,null,No,null,467,Cash,24,4.5,4.2
11-06-2026 00:00,17:35,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Shahdara,Vasant Kunj,null,null,null,null,null,null,565,null,0,null,null
27-06-2026 00:00,18:47,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Chhatarpur,Vasant Kunj,null,null,null,More than permitted people in there,null,null,276,null,0,null,null
24-06-2026 00:00,15:55,CNR7486448495,Success,CID931462,Auto,Noida Sector 150,Noida Sector 15,63,65,null,null,No,null,296,UPI,5,4,4.3
21-06-2026 00:00,18:03,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Rajouri Garden,Sector 29 Gurugram,null,null,null,null,null,null,1310,null,0,null,null
27-06-2026 00:00,17:51,CNR7533317866,Canceled by Customer,CID867762,Mini,Udyog Vihar,Greater Noida,null,null,AC is Not working,null,null,null,771,null,0,null,null
12-06-2026 00:00,19:45,CNR5758479139,Success,CID805528,Prime Sedan,Golf Course Road,Aerocity,42,25,null,null,No,null,279,Cash,43,4.3,3.4
29-06-2026 00:00,19:32,CNR8021985469,Success,CID604351,Mini,Mehrauli,Golf Course Road,308,145,null,null,No,null,321,Cash,39,3.3,4.7
04-06-2026 00:00,14:31,CNR3800597072,Success,CID386103,Mini,Mayur Vihar,Aerocity,189,35,null,null,No,null,457,Cash,1,4.1,3.4
30-06-2026 00:00,17:11,CNR6179425512,Success,CID607886,Mini,Lajpat Nagar,Rohini,217,45,null,null,No,null,139,Cash,45,4.9,3.8
10-06-2026 00:00,19:02,CNR7924302885,Success,CID517661,Auto,Mayur Vihar,Noida Sector 150,168,140,null,null,Yes,Customer Demand,685,UPI,7,4.1,4.9
19-06-2026 00:00,09:03,CNR7181374756,Canceled by Driver,CID700952,Auto,Chhatarpur,Mehrauli,null,null,null,More than permitted people in there,null,null,150,null,0,null,null
08-06-2026 00:00,12:09,CNR2830899440,Success,CID808607,Mini,MG Road Gurugram,Vasant Kunj,133,90,null,null,No,null,196,UPI,21,4.3,3.4
20-06-2026 00:00,21:30,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Vasant Kunj,Laxmi Nagar,null,null,null,Personal & Car related issue,null,null,424,null,0,null,null
16-06-2026 00:00,14:40,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Vivek Vihar,Connaught Place,null,null,null,More than permitted people in there,null,null,827,null,0,null,null
12-06-2026 00:00,09:23,CNR8854206454,Success,CID932765,eBike,Rajouri Garden,Lajpat Nagar,301,115,null,null,No,null,770,Cash,27,3.3,4.3
15-06-2026 00:00,10:38,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Noida City Centre,Palam Vihar,null,null,null,null,null,null,325,null,0,null,null
17-06-2026 00:00,03:04,CNR6215530366,Success,CID713821,eBike,Noida Sector 137,Noida Sector 50,161,25,null,null,No,null,986,Cash,18,4.6,4.8
09-06-2026 00:00,15:30,CNR4314026109,Success,CID259573,Prime SUV,Connaught Place,Noida Sector 150,266,115,null,null,No,null,2208,Cash,40,4,4.5
06-06-2026 00:00,16:35,CNR9027465661,Success,CID737388,Prime Sedan,Golf Course Extension Road,Noida City Centre,168,30,null,null,No,null,1695,UPI,20,4.5,4.7
12-06-2026 00:00,21:58,CNR5003494701,Canceled by Driver,CID761134,Mini,Noida City Centre,Golf Course Extension Road,null,null,null,Customer related issue,null,null,305,null,0,null,null
24-06-2026 00:00,19:29,CNR2064658821,Success,CID954441,Bike,Noida Sector 150,Chhatarpur,63,105,null,null,No,null,2271,Cash,37,3.4,4.2
06-06-2026 00:00,16:03,CNR2149029235,Success,CID596869,Auto,Gurugram Railway Station,Greater Noida,154,135,null,null,No,null,240,UPI,4,4,4.9
10-06-2026 00:00,18:43,CNR9704400677,Success,CID974657,Mini,Pitampura,Golf Course Extension Road,287,95,null,null,No,null,482,Cash,37,4.4,3.9
14-06-2026 00:00,08:24,CNR8836460204,Success,CID716037,eBike,Noida Sector 18,Pitampura,252,45,null,null,No,null,536,UPI,17,3.9,4.4
29-06-2026 00:00,18:02,CNR3697318609,Success,CID915228,Bike,Noida Sector 62,Connaught Place,287,100,null,null,No,null,188,UPI,37,4.9,4.1
13-06-2026 00:00,16:55,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Gurugram Railway Station,Palam Vihar,null,null,null,Customer related issue,null,null,202,null,0,null,null
19-06-2026 00:00,16:31,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Lajpat Nagar,Mehrauli,null,null,null,Customer related issue,null,null,1609,null,0,null,null
07-06-2026 00:00,20:45,CNR8346388703,Canceled by Driver,CID680143,Mini,Aerocity,Greater Kailash,null,null,null,Personal & Car related issue,null,null,1821,null,0,null,null
24-06-2026 00:00,19:01,CNR4445082348,Success,CID336831,Mini,Noida Sector 62,Noida Sector 18,42,40,null,null,No,null,415,UPI,22,3.6,3.1
27-06-2026 00:00,20:07,CNR5528764313,Success,CID808205,Prime SUV,Pitampura,Vivek Vihar,308,145,null,null,No,null,2125,UPI,6,3.8,4.6
04-06-2026 00:00,20:49,CNR3967141568,Canceled by Driver,CID163765,Auto,Aerocity,Manesar,null,null,null,Customer related issue,null,null,758,null,0,null,null
26-06-2026 00:00,20:27,CNR7054352438,Driver Not Found,CID270321,Mini,Udyog Vihar,Gurugram Cyber City,null,null,null,null,null,null,653,null,0,null,null
20-06-2026 00:00,21:54,CNR1640228587,Success,CID190281,Prime Sedan,Okhla,IGI Airport,168,135,null,null,Yes,Other Issue,704,Cash,42,4.7,4.8
05-06-2026 00:00,16:07,CNR6684033796,Success,CID352268,Auto,Vivek Vihar,Anand Vihar,84,105,null,null,No,null,385,Cash,19,4.1,3.7
15-06-2026 00:00,13:45,CNR4158584922,Success,CID772392,Auto,IGI Airport,Hauz Khas,35,45,null,null,No,null,934,UPI,12,3.3,5
24-06-2026 00:00,18:39,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Lajpat Nagar,Connaught Place,null,null,null,Customer related issue,null,null,615,null,0,null,null
16-06-2026 00:00,06:21,CNR5661490576,Success,CID546076,Bike,MG Road Gurugram,Mayur Vihar,56,30,null,null,No,null,2202,Cash,44,4.7,3.4
09-06-2026 00:00,10:35,CNR2304446757,Success,CID432144,eBike,Golf Course Road,Rajouri Garden,252,145,null,null,No,null,205,Cash,43,4.1,3.1
05-06-2026 00:00,16:15,CNR3780555542,Canceled by Customer,CID803813,Mini,Janakpuri,Udyog Vihar,null,null,Driver asked to cancel,null,null,null,513,null,0,null,null
16-06-2026 00:00,16:51,CNR1559782157,Success,CID906966,Auto,Noida Sector 18,Aerocity,182,50,null,null,No,null,247,Cash,8,3.1,3.3
26-06-2026 00:00,08:52,CNR7623690602,Success,CID526261,Bike,Noida City Centre,Rohini,259,75,null,null,Yes,Other Issue,558,UPI,41,3.2,3.2
19-06-2026 00:00,20:39,CNR2098165198,Success,CID619972,Prime Sedan,Greater Kailash,Nehru Place,217,55,null,null,No,null,291,UPI,5,3.8,3.3
05-06-2026 00:00,06:35,CNR5502012579,Success,CID748475,Mini,Noida Sector 150,Dwarka,56,110,null,null,No,null,925,Cash,22,3,4
05-06-2026 00:00,01:26,CNR4698965967,Success,CID529347,Prime Sedan,Noida Sector 150,Pitampura,280,30,null,null,No,null,121,Cash,44,3.8,4.5
02-06-2026 00:00,18:23,CNR8566688320,Driver Not Found,CID175878,Bike,Greater Noida,Gurugram Cyber City,null,null,null,null,null,null,404,null,0,null,null
27-06-2026 00:00,21:43,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Gurugram Railway Station,Okhla,null,null,Change of plans,null,null,null,223,null,0,null,null
23-06-2026 00:00,18:34,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Noida City Centre,Chhatarpur,null,null,null,null,null,null,2989,null,0,null,null
10-06-2026 00:00,11:33,CNR3404012927,Success,CID344186,Mini,Noida City Centre,Mayur Vihar,63,130,null,null,No,null,728,Cash,14,4.3,5
20-06-2026 00:00,17:50,CNR9282027845,Success,CID767941,Bike,Noida Sector 142,Okhla,210,85,null,null,No,null,2416,UPI,49,3.1,3.8
13-06-2026 00:00,09:29,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Gurugram Cyber City,Saket,null,null,Driver is not moving,null,null,null,371,null,0,null,null
12-06-2026 00:00,00:32,CNR4241139229,Success,CID133723,Prime Plus,Noida Sector 137,Mehrauli,203,25,null,null,No,null,258,Cash,32,4.7,4.1
05-06-2026 00:00,18:49,CNR8306274838,Driver Not Found,CID117206,Bike,Noida Sector 142,Laxmi Nagar,null,null,null,null,null,null,170,null,0,null,null
10-06-2026 00:00,10:38,CNR1903850514,Canceled by Customer,CID126419,eBike,MG Road Gurugram,Karkardooma,null,null,Driver asked to cancel,null,null,null,151,null,0,null,null
24-06-2026 00:00,21:51,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Sector 29 Gurugram,Rajouri Garden,null,null,null,Customer related issue,null,null,425,null,0,null,null
02-06-2026 00:00,10:46,CNR5744401218,Success,CID507511,Bike,Janakpuri,Pitampura,91,25,null,null,No,null,220,UPI,2,3.4,3.1
08-06-2026 00:00,14:58,CNR7221640450,Success,CID195611,Prime Sedan,Manesar,Palam Vihar,301,145,null,null,No,null,472,UPI,16,3.3,4.5
14-06-2026 00:00,08:49,CNR8395803905,Canceled by Driver,CID925776,eBike,Noida Sector 76,Manesar,null,null,null,Customer related issue,null,null,616,null,0,null,null
18-06-2026 00:00,14:34,CNR3750351374,Success,CID524066,Prime SUV,Noida Sector 76,Noida Sector 142,42,130,null,null,No,null,473,Cash,49,4,4.2
25-06-2026 00:00,07:59,CNR2869164142,Success,CID884352,Prime SUV,Pitampura,Okhla,126,115,null,null,No,null,259,Cash,11,4.8,4.5
29-06-2026 00:00,08:08,CNR8303547069,Success,CID471469,Mini,Noida Sector 15,New Delhi Railway Station,77,35,null,null,No,null,310,Credit Card,2,3.3,3.1
22-06-2026 00:00,18:37,CNR7368110421,Canceled by Driver,CID372218,Mini,Noida City Centre,Vasant Kunj,null,null,null,Personal & Car related issue,null,null,200,null,0,null,null
19-06-2026 00:00,13:22,CNR7500310853,Success,CID377809,Prime Sedan,Noida Sector 18,Nehru Place,189,85,null,null,No,null,471,UPI,39,3.5,3.7
27-06-2026 00:00,13:33,CNR8925319975,Success,CID388701,Prime Sedan,Connaught Place,Vivek Vihar,287,125,null,null,No,null,442,UPI,37,4.1,4.5
24-06-2026 00:00,14:18,CNR9261561390,Success,CID853883,Auto,DLF Phase 1,Noida Sector 76,175,65,null,null,No,null,228,Cash,10,3.7,4.3
04-06-2026 00:00,20:40,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Gurugram Railway Station,Pitampura,null,null,null,Customer was coughing/sick,null,null,232,null,0,null,null
26-06-2026 00:00,12:57,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Sector 29 Gurugram,Rajouri Garden,null,null,null,null,null,null,344,null,0,null,null
12-06-2026 00:00,07:23,CNR5613886410,Success,CID107686,Auto,Okhla,Shahdara,266,65,null,null,No,null,2604,UPI,10,3.8,4.1
29-06-2026 00:00,19:53,CNR5841521780,Success,CID768996,Prime SUV,Rajouri Garden,Noida Sector 142,210,120,null,null,No,null,274,Cash,37,3.1,3.6
09-06-2026 00:00,21:14,CNR1281921513,Canceled by Customer,CID163474,Mini,Preet Vihar,Noida Sector 15,null,null,Driver is not moving,null,null,null,895,null,0,null,null
01-06-2026 00:00,17:08,CNR2959980296,Success,CID509309,Bike,Saket,Noida Sector 50,91,60,null,null,No,null,279,Cash,34,4.5,3.2
13-06-2026 00:00,19:22,CNR6765124275,Success,CID630281,Prime Sedan,Gurugram Railway Station,Noida City Centre,294,45,null,null,No,null,1946,Cash,16,3,3.5
30-06-2026 00:00,20:45,CNR9762994658,Success,CID443169,Prime Plus,Golf Course Road,Connaught Place,231,65,null,null,No,null,1024,UPI,4,4.8,4.1
29-06-2026 00:00,17:19,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Gurugram Railway Station,Rohini,null,null,Driver asked to cancel,null,null,null,294,null,0,null,null
23-06-2026 00:00,19:31,CNR8116331340,Success,CID777382,Auto,Sohna Road,Malviya Nagar,266,55,null,null,No,null,252,UPI,8,4,4.8
19-06-2026 00:00,10:16,CNR3491700602,Success,CID247449,Mini,Golf Course Extension Road,Karol Bagh,84,145,null,null,No,null,2542,UPI,2,3.5,4.1
21-06-2026 00:00,21:08,CNR2166456022,Success,CID930312,Mini,Saket,Malviya Nagar,266,75,null,null,No,null,1821,Cash,34,4.4,4.7
04-06-2026 00:00,17:43,CNR2177201692,Success,CID614111,Mini,Karol Bagh,Saket,105,145,null,null,No,null,200,Cash,31,4.9,4
10-06-2026 00:00,22:24,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Gurugram Railway Station,DLF Phase 3,null,null,null,Customer was coughing/sick,null,null,152,null,0,null,null
21-06-2026 00:00,17:07,CNR4484571820,Success,CID645793,Auto,Saket,Janakpuri,133,145,null,null,No,null,2388,Cash,4,4.4,3.6
12-06-2026 00:00,22:49,CNR7377461832,Success,CID719814,eBike,Vasant Kunj,Sector 29 Gurugram,77,100,null,null,No,null,783,Cash,37,3.5,3.5
16-06-2026 00:00,22:35,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Dwarka,Noida Sector 62,null,null,null,null,null,null,208,null,0,null,null
22-06-2026 00:00,10:34,CNR2976802436,Success,CID592039,Prime SUV,Manesar,Hauz Khas,168,50,null,null,No,null,1181,UPI,10,3.4,4.9
19-06-2026 00:00,19:26,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,Preet Vihar,Noida Sector 137,null,null,Change of plans,null,null,null,843,null,0,null,null
08-06-2026 00:00,14:28,CNR1945536909,Success,CID796614,Auto,Chhatarpur,Gurugram Railway Station,224,80,null,null,No,null,441,Cash,7,3,3.1
22-06-2026 00:00,18:37,CNR8097291227,Success,CID734844,Prime Plus,Noida Sector 137,Noida Sector 142,238,25,null,null,No,null,332,UPI,38,3.8,3.4
12-06-2026 00:00,19:05,CNR1433815646,Success,CID307267,Prime SUV,Vivek Vihar,Palam Vihar,42,65,null,null,No,null,832,Cash,11,3.4,4.1
30-06-2026 00:00,20:32,CNR5876056264,Success,CID568720,Prime SUV,Preet Vihar,Sohna Road,231,30,null,null,No,null,1361,UPI,47,4,3.9
06-06-2026 00:00,09:37,CNR2943788515,Canceled by Driver,CID627311,Bike,Noida Sector 15,Noida Sector 137,null,null,null,More than permitted people in there,null,null,415,null,0,null,null
07-06-2026 00:00,18:16,CNR5599931622,Success,CID822709,Prime SUV,Karol Bagh,Saket,42,55,null,null,No,null,747,Cash,28,3.8,3
26-06-2026 00:00,22:48,CNR6776927575,Success,CID817693,Bike,Noida Sector 76,Lajpat Nagar,245,55,null,null,No,null,129,Cash,5,4.4,4.2
28-06-2026 00:00,13:32,CNR4880622143,Success,CID602848,eBike,Sohna Road,Pitampura,98,100,null,null,No,null,296,UPI,34,3.3,4.2
16-06-2026 00:00,11:06,CNR2841702950,Success,CID268274,Auto,Laxmi Nagar,Mayur Vihar,231,105,null,null,No,null,337,UPI,18,4.5,4.2
19-06-2026 00:00,18:30,CNR2747846957,Success,CID700413,Prime Sedan,Dwarka,Connaught Place,308,140,null,null,No,null,896,UPI,45,4,4.1
24-06-2026 00:00,06:04,CNR4795488474,Success,CID943263,Prime Sedan,Okhla,Laxmi Nagar,189,60,null,null,No,null,151,Credit Card,11,4,4.8
27-06-2026 00:00,13:45,CNR6662649739,Success,CID295666,Auto,DLF Phase 1,Golf Course Extension Road,189,35,null,null,No,null,940,Debit Card,7,3.2,3.5
19-06-2026 00:00,22:56,CNR2524442918,Success,CID471692,Prime Plus,Dwarka,Pitampura,98,140,null,null,No,null,729,Credit Card,13,4.5,5
02-06-2026 00:00,20:53,CNR4977956798,Success,CID782900,Auto,DLF Phase 1,Preet Vihar,189,45,null,null,No,null,128,Cash,1,4.6,4.8
05-06-2026 00:00,13:45,CNR2002215420,Success,CID109502,Prime SUV,Noida City Centre,Nehru Place,77,75,null,null,No,null,274,Cash,42,4,3.4
13-06-2026 00:00,17:19,CNR9590311980,Success,CID957268,Auto,Mehrauli,Noida Sector 18,105,25,null,null,Yes,Customer Demand,352,Cash,8,5,3.8
06-06-2026 00:00,09:25,CNR3124565731,Success,CID578023,Auto,Preet Vihar,Noida Sector 15,189,55,null,null,No,null,238,UPI,6,4.5,3
05-06-2026 00:00,12:20,CNR6090870401,Success,CID301446,Prime SUV,Gurugram Railway Station,Vivek Vihar,280,30,null,null,No,null,477,Cash,19,4.1,4.3
16-06-2026 00:00,09:16,CNR9405757355,Success,CID176162,Auto,Preet Vihar,Vasant Kunj,196,145,null,null,No,null,186,UPI,15,4.7,4.6
06-06-2026 00:00,20:41,CNR7078608984,Driver Not Found,CID926832,eBike,Noida Sector 93,Shahdara,null,null,null,null,null,null,117,null,0,null,null
26-06-2026 00:00,16:54,CNR4166475803,Success,CID615978,Prime SUV,Malviya Nagar,Saket,168,90,null,null,No,null,193,UPI,13,3.8,3.2
03-06-2026 00:00,07:00,CNR3641224150,Success,CID431557,Mini,Manesar,Noida Sector 15,98,60,null,null,No,null,395,UPI,41,4.3,4.8
